Járat	Megálló	Szélesség	Hosszúság
44	Szent Imre utca 13.	46.360182	17.793887
44	Szent Imre utca 29.	46.361618	17.793905
90	Szigetvári utca 139.	46.339928	17.801642
51	Szigetvári utca 139.	46.33957	17.802037
90	Szigetvári utca 6.	46.349038	17.794061
51	Szigetvári utca 6.	46.349132	17.794131
90	Szigetvári utca 62.	46.345523	17.796833
51	Szigetvári utca 62.	46.345614	17.796836
44	Széchenyi tér	46.356925	17.794208
46	Szőlőhegy	46.31275	17.786045
42	Szőlőhegy	46.312868	17.786077
42	Tallián Gyula utca 4.	46.357138	17.797294
42	Tallián Gyula utca 56.	46.362753	17.797225
42	Tallián Gyula utca 82.	46.364616	17.79722
20	Toldi lakónegyed	46.367263	17.782616
23	Toldi lakónegyed	46.367425	17.782417
31	Tompa Mihály utca	46.353735	17.778588
13	Tompa Mihály utca	46.35367	17.778673
83	Toponár. Kányádi Sándor utca	46.396203	17.845349
81	Toponár. orci elágazás	46.394286	17.833528
83	Toponár. orci elágazás	46.394726	17.83441
82	Toponár. Orci út	46.395331	17.841597
83	Toponár. Orci út	46.395364	17.841462
82	Toponár. Szabó Pál utca	46.392558	17.844539
81	Toponár. forduló	46.407837	17.836782
81	Toponár. posta	46.390546	17.827728
81	Toponári út 182.	46.402009	17.83414
81	Toponári út 238.	46.405217	17.835289
46	Táncsics Mihály utca	46.345623	17.787408
42	Táncsics Mihály utca	46.345519	17.787428
40	Tóth Árpád utca	46.371914	17.767523
20	Tóth Árpád utca	46.371312	17.767801
42	Töröcske. forduló	46.302464	17.78166
13	Vasút köz	46.363938	17.770323
20	Vasút köz	46.363734	17.770505
42	Vasútállomás	46.352875	17.796183
20	Videoton	46.363912	17.820903
61	Vikár Béla utca	46.349924	17.812306
23	Villamossági Gyár	46.377722	17.823765
91	Virág utca	46.358412	17.803879
47	Volán-telep	46.390372	17.779284
23	Volán-telep	46.389625	17.779158
71	Várhegy feljáró	46.359291	17.843788
62	Virágfürdő	46.351408	17.797215
13	Kanizsai utca	46.363127	17.776987
20	Kanizsai utca	46.363393	17.779188
91	Vöröstelek utca	46.364164	17.799972
46	Zichy Mihály utca	46.341627	17.789211
42	Zichy Mihály utca	46.342097	17.789029
12	Zárda utca	46.358799	17.787706
42	ÁNTSZ	46.365167	17.789067
20	ÁNTSZ	46.364997	17.789283
31	Állatkórház	46.35211	17.771331
13	Állatkórház	46.352069	17.771433
23	Kaposfüred. Állomás utca	46.413195	17.762911
20	Nagyszeben utca	46.373199	17.787101
72	Nap utca	46.350378	17.829036
91	Pázmány Péter utca 1.	46.361024	17.801277
44	Autóbusz-állomás	46.354155	17.790159
31	Autóbusz-állomás	46.354098	17.790477
45	Autóbusz-állomás	46.354032	17.790819
12	Autóbusz-állomás	46.353964	17.791172
61	Autóbusz-állomás	46.354133	17.790753
86	Autóbusz-állomás	46.354181	17.790499
43	Autóbusz-állomás	46.354078	17.791032
86	Cabero	46.364415	17.856994
86	Kaposvári Szennyvíztelep	46.36118	17.871696
44	Rákóczi tér	46.353589	17.794874
46	Autóbusz-állomás	46.353386	17.792458
81	Autóbusz-állomás	46.353324	17.792809
13	Autóbusz-állomás	46.353259	17.793124
44	Kapostüskevár	46.365638	17.77339
20	Raktár utca	46.37944	17.768667
70	Zöld Fűtőmű	46.381822	17.780806
71	Zöld Fűtőmű	46.381346	17.780679
13	Corso Bevásárlóközpont	46.355095	17.78585
13	Berzsenyi utca 2.	46.356493	17.785371
74	Cukorgyár köz	46.357737	17.810203
71	Cukorgyár köz	46.35766	17.809829
